net,metric,t,df,meanCtrl,meanUsr,d,p,p_fdr,P_bonf
SAL,Sigma,-4.848225343491915,32.625660922367594,1.1228275886086752,1.358487701522736,-1.319519805509433,2.95688993238022e-5,4.395376926511138e-5,0.001626289462809121
SUB,EG,3.7282964092068895,47.42785263899597,0.39542576764798987,0.3597815764482431,1.014713756934181,5.137213458915235e-4,6.727303339055665e-4,0.028254674024033793
SUB,EL,-9.510073982554283,51.296921462831875,0.4009021842355176,0.6243748021525799,-2.588314297041765,6.556807907284761e-13,1.8031221745033093e-12,3.606244349006618e-11
SUB,D,-2.4918578834948697,48.55460230086529,0.2242962962962963,0.23837037037037037,-0.6781978140104536,0.016173016448537608,0.02021627056067201,0.8895159046695684
SUB,S,-1.8972004153228934,51.00320161990416,1.0022233618233618,1.153362393162393,-0.516352550815268,0.06347010304890738,0.07588816668891099,1
SUB,CP,-6.09879871474726,51.985685360680876,0.49264403292181064,0.6291245791245791,-1.6598827661191826,1.345100973910331e-7,2.3118922989083813e-7,7.39805535650682e-6
SUB,LP,8.646143660261975,48.5942263262019,2.227084922451055,1.759190095791403,2.3531822456046125,2.1391165115748682e-11,5.1152786146355546e-11,1.1765140813661776e-9
SUB,Sigma,-10.407850155657986,47.76582109949815,2.268699634551018,4.3876114183755925,-2.832658022300949,7.140779026446818e-14,2.6182856430305e-13,3.9274284645457504e-12
VAN,EG,-15.77969705773512,45.45026777553893,0.1095679012345679,0.2780349794238683,-4.294689565238674,4.620440503228944e-20,3.176552845969899e-19,2.541242276775919e-18
VAN,EL,-14.27642482137685,26,0,0.28497942386831276,-3.8855506848419736,8.148802818106115e-14,2.636377382328449e-13,4.481841549958363e-12
VAN,D,-18.923749632851845,45.7858632262599,0.07492592592592592,0.18281481481481482,-5.150392291185281,2.805951979227293e-23,3.0865471771500222e-22,1.5432735885750112e-21
VAN,S,-8.340789469087396,48.000438589547485,0.22026584362139917,0.5420641975308642,-2.2700753612492814,6.759921538952059e-11,1.5491486860098467e-10,3.717956846423632e-9
VAN,CP,-14.315866367452102,25.999999999999996,0,0.6018518518518519,-3.820622085900741,7.644208838695867e-14,2.6276967883017043e-13,4.204314861282727e-12
VAN,LP,-4.147957286075202,50.11308291579771,1.4382716049382716,1.5827160493827162,-1.128930980638217,1.2957786295803117e-4,1.8273801186389013e-4,0.007126782462691715
WB,EG,-11.87916479852672,42.613359381634474,0.2211686725795654,0.2425305300054055,-3.233099147424688,4.141737269481625e-15,1.752273460165303e-14,2.277955498214894e-13
WB,EL,-4.284151395643772,51.709200635982604,0.5110819841836788,0.5317548449281904,-1.1659983222399615,7.992967872814956e-5,1.1568769289600594e-4,0.004396132330048225
WB,D,-19.889721309212618,51.17818582650513,0.029111111111111112,0.036703703703703704,-5.413296481525814,9.79717696618086e-26,1.3471118328498683e-24,5.388447331399473e-24
WB,S,-6.746129212181432,45.789727845698444,2.980452272727273,3.9055333333333335,-1.836063812080931,2.2386716138387127e-8,4.397390670040328e-8,1.231269387611292e-6
WB,CP,-0.5890658782138801,50.955296121804686,0.4775327964057201,0.4803512706057628,-0.16032342516760711,0.5584197145966516,0.5687608204225156,1
WB,LP,15.264503494430341,51.90798142641439,4.319412408057957,3.95078070896552,4.154471637587234,7.793227134464254e-21,6.123249891364771e-20,4.28627492395534e-19
WB,Sigma,30.692411801614803,51.97455222256649,4.315419849989105,2.9547203961188293,8.35341643214809,5.597708051678257e-35,1.5393697142115208e-33,3.0787394284230416e-33
