net,metric,stat_gr,df_gr,ges_gr,p_gr,stat_st,df_st,ges_st,p_st,stat_int,df_int,ges_int,p_int,p_gr_fdr,p_st_fdr,p_int_fdr,p_gr_bonf,p_st_bonf,p_int_bonf
DAN,Sigma,3.45165128340583,"1, 25",0.059308226345228,0.075004763143102,40.4092236971267,"1, 25",0.467592001973564,1.18167176250988E-06,4.44234232302665,"1, 25",0.088049202204784,0.045254804421234,0.110209560544996,4.72668705003952E-06,0.072407687073974,1,6.61736187005532E-05,1
DMN,EG,6.064463274106,"1, 25",0.128075536737026,0.021031357631401,374.240180879639,"1, 25",0.855178994598701,1.48055235484264E-16,4.23070641820397,"1, 25",0.062578189696498,0.050275695678228,0.035689576586621,4.14554659355938E-15,0.078206637721688,1,8.29109318711877E-15,1
DMN,EL,24.7873766526593,"1, 25",0.334640743253404,3.9383742313465E-05,109.042263705827,"1, 25",0.682456221404967,1.32911165165066E-10,22.6274334279572,"1, 25",0.308425657098174,6.99737720767501E-05,0.000122527198309,9.81808107729734E-10,0.000206238486121,0.002205489569554,7.44302524924369E-09,0.003918531236298
DMN,D,22.3553825047622,"1, 25",0.284408853618953,7.53758524154776E-05,266.095160258689,"1, 25",0.855345492896345,7.77035298848576E-15,6.23138299505769,"1, 25",0.121628489140994,0.019505575902688,0.000211052386763,1.08784941838801E-13,0.036410408351685,0.004221047735267,4.35139767355203E-13,1
DMN,S,0.670859211821495,"1, 25",0.013502990621931,0.420491956863429,32.6701196940789,"1, 25",0.39032675333936,5.92654122244109E-06,0.441258313353843,"1, 25",0.00857302494544,0.512596500376058,0.480562236415347,2.07428942785438E-05,0.667567535373471,1,0.000331886308457,1
DMN,CP,0.678628787587287,"1, 25",0.011130479453764,0.417849307670002,52.9754286388229,"1, 25",0.553644117041139,1.2590439084098E-07,1.92188474505959,"1, 25",0.043061230562857,0.177889726887609,0.480562236415347,6.40967807917717E-07,0.249045617642653,1,7.05064588709489E-06,1
DMN,LP,12.9366454937087,"1, 25",0.170790521014132,0.001384091989936,74.0683511746476,"1, 25",0.640736397176362,6.04730208189382E-09,58.2206261096812,"1, 25",0.583659203058646,5.50677872415012E-08,0.002981121209093,3.38648916586054E-08,2.80345098684006E-07,0.07750915143641,3.38648916586054E-07,3.08379608552406E-06
DMN,Sigma,4.97637211855756,"1, 25",0.069608936832517,0.034903885258854,22.9424682000473,"1, 25",0.36417996022831,6.42365039343515E-05,78.7125353855769,"1, 25",0.662743730085006,3.38769275906981E-09,0.054294932624884,0.000163511100924,2.71015420725585E-08,1,0.003597244220324,1.8971079450791E-07
FPN,EG,3.08352194034122,"1, 25",0.072113438718139,0.091335208577197,0.040854055413316,"1, 25",0.000604100050149,0.841455692470982,29.046726551225,"1, 25",0.300585468996245,1.36505165637936E-05,0.127869292008076,0.88908525996934,5.46020662551745E-05,1,1,0.000764428927572
FPN,EL,28.7868444717994,"1, 25",0.390324868501215,1.45248269174928E-05,5.17978090555293,"1, 25",0.084243382929745,0.031680636513207,0.159969179535628,"1, 25",0.002833012898891,0.692581857954612,5.42260204919733E-05,0.049280990131655,0.761101360484127,0.00081339030738,1,1
